2025-12-20 08:50:06.819 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Mismatch found for filter '10% off or more' on product 'sandisk ultra dual drive go type-c 256gb, otg, upto 400mb/s,usb3.2_gen_1 pendrive, navagio bay, 5y warranty (sdddc3-256g-i46npd)'
2025-12-20 08:50:06.819 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  10%
2025-12-20 08:50:06.819 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  off
2025-12-20 08:50:06.819 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  or
2025-12-20 08:50:06.819 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  more
2025-12-20 08:50:06.819 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  10%
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  off
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text present within Under containsCheck Method, text checked is  or
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  more
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  10%
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  off
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text present within Under containsCheck Method, text checked is  or
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text present within Under containsCheck Method, text checked is  more
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  10%
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  off
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text present within Under containsCheck Method, text checked is  or
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  more
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Mismatch found for filter '10% off or more' on product 'dm pd237 32 gb usb 3.2 gen1 metal body high-speed premium type c pendrive compatible with smartphone, audio player, desktop computer, gaming console, laptop, mobile, tablet, television (32gb)'
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  10%
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  off
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  or
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  more
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  10%
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  off
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text present within Under containsCheck Method, text checked is  or
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  more
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  10%
2025-12-20 08:50:06.820 PM [TestNG-test-Test-2] ERROR [verifyingDiscountFilterFunctionality] [verifyingDiscountFilterFunctionality] Text Not present within Under containsCheck Method, text checked is  off
