19:23:13 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
19:23:13 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - WebDriverManager: chromedriver setup OK
19:23:15 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - ChromeDriver initialized successfully for thread: 36
19:23:18 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Opening amazon Landing page
19:23:18 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Within safeFindElement method
19:23:18 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //a[@id='nav-logo-sprites']]
19:23:19 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Giving input within the search bar
19:23:19 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Within safeClick method
19:23:22 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Clicked the  [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
19:23:22 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Clicking on the submit in the search bar
19:23:22 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Waiting until element is visible in viewport
19:23:22 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Within validateDeliveryFilterOptionsWithResult method
19:23:22 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Within safeClick method
19:23:22 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Clicked the  [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Eligible for Free Delivery']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Free Shipping']]   using safeClick
19:23:22 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Within getMoreButtonByFilterTypeAndName method
19:23:22 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Eligible for Free Delivery']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Free Shipping']
19:23:22 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Within safeFindElements 
19:23:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Returning the  [[[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (7837feee56659fb8540c584dddbdea21)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
19:23:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
19:23:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] this is the set  [01, Aug, 02, Today, FREE delivery, Sat, Sun, Tomorrow]
19:23:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:23:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:23:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:23:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:23:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:23:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:23:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-23-13] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
